UID1,UID2
1857,497
4964,5578
7062,8026
4813,906
3072,349
5270,5736
1661,6461
4013,6098
7029,7058
4013,5431
2838,3105
213,2976
4522,948
2159,2219
3806,6040
5395,6214
394,4080
2,5208
1624,2606
3161,4415
6711,8255
4510,6301
8825,8844
8021,8623
8637,8834
7482,8304
1635,6038
4492,6068
177,4220
2575,2795
7378,8621
2322,4935
2690,5353
1743,6661
2606,331
1159,5182
3251,4004
2459,929
3592,5778
861,989
265,5545
7293,8409
2648,3056
2941,5697
3642,5675
3308,4694
3023,4636
4274,4720
7302,7733
6764,7072
7161,8834
3572,6924
8806,8835
4265,6937
2440,5454
3282,8282
2358,5215
2693,6844
5035,5140
3869,3930
3464,4508
6127,818
1846,6914
2702,3656
3416,5781
1181,4865
264,6608
7523,8832
292,5760
7137,7585
5850,6914
4235,6681
8024,8209
4094,4246
4642,989
7501,8569
315,923
3291,6681
4220,6230
7012,8566
4922,943
5856,893
2521,989
2448,759
2753,4878
1268,2458
5198,5385
7774,8089
1343,1611
4442,511
8143,8245
2125,5795
4699,5983
2377,5723
3406,4212
4956,5769
3348,5678
7568,8162
3191,4513
2926,983
1390,4235
1158,3075
1004,5618
3992,5106
6697,6699
3006,3024
302,4970
1278,5867
2605,6497
5145,5439
7062,7850
1797,3974
6194,6492
8018,8491
1506,5406
3031,4237
148,6895
6552,6624
5802,728
3558,3563
1798,6395
4417,5871
3911,5538
8408,8483
2652,3079
3014,5385
2224,3313
6753,8176
5073,5867
3080,4851
7324,7377
6811,8782
5050,5492
5613,6954
1653,2606
4379,5478
3030,6169
7035,8338
1466,4323
5724,6476
7646,7730
1489,4438
6785,7733
3202,5330
2702,2926
2653,3075
3748,6947
1290,4529
3017,5393
7563,8833
7165,7533
208,3274
6755,7369
3396,5509
2771,4950
2518,3548
3724,5843
267,750
2816,6903
1035,3211
5788,6659
2926,6255
1607,5152
2444,4445
1451,2683
6999,7301
8196,8475
8026,8143
1770,989
2346,82
2448,6887
3699,4367
2795,6584
3303,5908
2173,2481
5941,6180
4289,4618
1028,933
1793,305
4724,5733
4413,4955
334,3974
4977,5973
2774,6877
8571,8683
3806,5264
3806,959
4970,989
8053,8820
5409,5704
4417,6293
6816,7628
6500,736
6995,7883
1214,5981
1668,2862
3130,5613
1028,3377
5714,872
6989,7720
7754,8434
8359,8623
4232,4334
1818,6637
2559,4744
1570,3996
1549,3593
7525,8021
7690,7982
398,4643
1570,5775
2939,4621
4333,5469
6977,7405
7360,7474
3922,5408
3227,6321
1028,4006
1829,2486
5544,6492
1862,3958
4263,4508
1701,5695
7471,8841
7461,8574
264,914
6733,7982
7895,8571
4308,637
3860,5175
7839,7895
7298,7324
3100,3262
2468,3842
2995,406
7758,8832
4478,6914
2663,6677
8783,8838
3558,6430
5035,5779
3205,4029
221,5376
1636,942
3161,6452
3668,4873
6810,8589
4512,6645
4561,5587
3808,6273
7522,8095
2696,2708
7463,7475
3777,5423
6697,8257
3782,5344
7252,8623
8105,8852
8294,8673
3340,5908
5913,750
3331,3893
7705,7707
1695,3241
3284,3335
4199,560
7643,7674
8496,8642
1524,6960
321,936
3933,4333
334,751
3116,524
6785,7302
1797,2523
2663,4337
4095,6400
7790,8500
7742,7765
3483,4996
1743,3626
1818,6005
3616,4003
3459,5475
4123,5120
7758,8780
7408,7624
6731,8432
3459,5490
2668,6466
2668,4469
3462,750
2706,4118
4013,6851
7681,7944
1438,1640
2448,3579
2315,3697
282,4013
2708,6886
3639,3921
5994,6269
124,3234
4333,4920
5861,6295
1769,2889
4553,6148
4333,4913
3700,4133
6811,8590
7380,7628
3303,3340
349,434
4487,6275
3586,485
7924,8227
6987,8560
5380,6287
5775,6053
4027,4184
1291,637
7284,7374
3850,543
1712,4969
2244,348
3668,4301
2564,4530
1343,2926
1725,6595
7758,8197
8358,8483
5836,989
5924,736
1028,3303
2444,6600
2155,402
1842,492
1543,3396
3161,3379
4478,6081
6816,7442
6274,6914
5117,5851
7712,7715
3070,5385
3134,3303
457,5150
2502,620
7007,7052
4467,4549
3333,8286
4731,6857
7072,8563
6592,6888
2651,5208
2243,3262
7089,7564
2264,989
3096,5132
2905,5232
4130,989
8434,8502
7771,7902
2968,5257
2162,3170
411,6934
5123,6303
6823,7423
375,4095
6242,6912
2258,5478
5035,772
4561,4621
6976,7525
8523,8777
1513,4013
2580,6428
8125,8150
2337,4504
2924,4527
6738,6972
1770,6945
1696,1757
3528,3700
3126,989
2394,3030
4531,5867
1902,6896
1024,455
2668,4404
2345,5188
7286,8329
8141,8818
7927,8278
7754,8102
7525,7696
6745,7639
7692,7710
1330,885
6449,85
2201,2926
144,2619
7758,8851
1625,2559
24,343
4811,6269
3162,4029
5724,6092
7879,7942
6999,7758
7901,7994
2752,4919
6666,6879
2472,4333
8088,8813
7039,8463
2346,3046
7694,7982
7475,8526
3800,4992
1829,6626
6820,7964
3078,5190
2275,2517
4199,6269
2448,3339
1625,1963
337,4102
2712,4410
2667,6626
1324,5301
3529,5723
3356,5550
7086,7505
4095,5780
4174,5075
4620,4919
4129,4695
2442,976
8214,8507
8178,8659
1209,4199
2643,545
6827,8329
7354,7982
7300,7934
1674,1857
2577,952
2573,2926
263,4664
1541,5517
1465,3015
7741,7823
7319,8246
2193,5708
159,4009
