Source,Target,Type,Id,Label,Weight
182,819,Undirected,17643,,1
3497,6620,Undirected,17644,,1
3933,4480,Undirected,17645,,1
3518,4126,Undirected,17646,,1
6774,8855,Undirected,17647,,1
7119,7895,Undirected,17648,,1
7495,8051,Undirected,17649,,1
4891,6534,Undirected,17650,,1
7165,7791,Undirected,17651,,1
7053,7537,Undirected,17652,,1
6745,7605,Undirected,17653,,1
8472,8804,Undirected,17654,,1
1726,182,Undirected,17655,,1
2989,3558,Undirected,17656,,1
435,832,Undirected,17657,,1
311,3191,Undirected,17658,,1
6829,8459,Undirected,17659,,1
7339,8401,Undirected,17660,,1
7724,8435,Undirected,17661,,1
1438,3046,Undirected,17662,,1
8341,8677,Undirected,17663,,1
2559,5666,Undirected,17664,,1
3408,4744,Undirected,17665,,1
7567,7716,Undirected,17666,,1
578,6520,Undirected,17667,,1
8408,8837,Undirected,17668,,1
129,5235,Undirected,17669,,1
2708,2866,Undirected,17670,,1
633,65,Undirected,17671,,1
2258,3246,Undirected,17672,,1
1330,1761,Undirected,17673,,1
1384,3558,Undirected,17674,,1
3163,4476,Undirected,17675,,1
2495,5531,Undirected,17676,,1
4412,6863,Undirected,17677,,1
3403,3543,Undirected,17678,,1
2708,5287,Undirected,17679,,1
1761,4467,Undirected,17680,,1
5867,5992,Undirected,17681,,1
6785,8841,Undirected,17682,,1
5867,6300,Undirected,17683,,1
2541,989,Undirected,17684,,1
3619,4068,Undirected,17685,,1
539,613,Undirected,17686,,1
1307,4173,Undirected,17687,,1
5246,5513,Undirected,17688,,1
7951,8211,Undirected,17689,,1
2889,887,Undirected,17690,,1
241,3045,Undirected,17691,,1
1769,1896,Undirected,17692,,1
8264,8496,Undirected,17693,,1
1325,6944,Undirected,17694,,1
2244,875,Undirected,17695,,1
6983,8094,Undirected,17696,,1
1652,3668,Undirected,17697,,1
4221,4932,Undirected,17698,,1
4853,6115,Undirected,17699,,1
415,989,Undirected,17700,,1
1733,5234,Undirected,17701,,1
2123,5144,Undirected,17702,,1
3533,4806,Undirected,17703,,1
7801,7828,Undirected,17704,,1
3044,966,Undirected,17705,,1
3099,5175,Undirected,17706,,1
547,6611,Undirected,17707,,1
7298,8070,Undirected,17708,,1
7810,8501,Undirected,17709,,1
3406,5587,Undirected,17710,,1
2941,3250,Undirected,17711,,1
5867,627,Undirected,17712,,1
3308,4126,Undirected,17713,,1
1963,3928,Undirected,17714,,1
7814,8143,Undirected,17715,,1
1272,4720,Undirected,17716,,1
749,894,Undirected,17717,,1
5229,941,Undirected,17718,,1
1206,299,Undirected,17719,,1
1023,4875,Undirected,17720,,1
2407,2520,Undirected,17721,,1
7304,7857,Undirected,17722,,1
1329,4553,Undirected,17723,,1
3192,3426,Undirected,17724,,1
6810,7827,Undirected,17725,,1
7344,8781,Undirected,17726,,1
1636,831,Undirected,17727,,1
7301,8501,Undirected,17728,,1
2200,947,Undirected,17729,,1
1947,3093,Undirected,17730,,1
3029,5541,Undirected,17731,,1
259,5478,Undirected,17732,,1
4954,872,Undirected,17733,,1
7619,7850,Undirected,17734,,1
1770,5528,Undirected,17735,,1
3178,6269,Undirected,17736,,1
4223,5710,Undirected,17737,,1
352,3574,Undirected,17738,,1
5478,6284,Undirected,17739,,1
1817,6457,Undirected,17740,,1
146,2788,Undirected,17741,,1
358,7181,Undirected,17742,,1
975,981,Undirected,17743,,1
6755,8837,Undirected,17744,,1
3042,4907,Undirected,17745,,1
322,989,Undirected,17746,,1
3144,3762,Undirected,17747,,1
1416,5056,Undirected,17748,,1
319,4103,Undirected,17749,,1
6975,8786,Undirected,17750,,1
356,3953,Undirected,17751,,1
1359,969,Undirected,17752,,1
7442,8842,Undirected,17753,,1
7442,8462,Undirected,17754,,1
5028,5060,Undirected,17755,,1
5297,6133,Undirected,17756,,1
2397,3291,Undirected,17757,,1
4155,762,Undirected,17758,,1
4265,6890,Undirected,17759,,1
1530,4013,Undirected,17760,,1
7340,8240,Undirected,17761,,1
1401,2437,Undirected,17762,,1
3957,4207,Undirected,17763,,1
7638,7855,Undirected,17764,,1
1498,3157,Undirected,17765,,1
1509,5262,Undirected,17766,,1
4013,464,Undirected,17767,,1
2877,3451,Undirected,17768,,1
3445,3529,Undirected,17769,,1
7726,8540,Undirected,17770,,1
289,985,Undirected,17771,,1
3121,5867,Undirected,17772,,1
2273,5799,Undirected,17773,,1
1000,3206,Undirected,17774,,1
7689,7889,Undirected,17775,,1
5307,6323,Undirected,17776,,1
1963,4333,Undirected,17777,,1
936,999,Undirected,17778,,1
155,6920,Undirected,17779,,1
2448,6852,Undirected,17780,,1
7796,8387,Undirected,17781,,1
7501,7630,Undirected,17782,,1
2816,6593,Undirected,17783,,1
6698,8472,Undirected,17784,,1
7966,8132,Undirected,17785,,1
3536,881,Undirected,17786,,1
3066,5391,Undirected,17787,,1
2889,4950,Undirected,17788,,1
3723,461,Undirected,17789,,1
7944,8849,Undirected,17790,,1
7165,8211,Undirected,17791,,1
8540,8549,Undirected,17792,,1
1719,948,Undirected,17793,,1
2135,804,Undirected,17794,,1
7791,8057,Undirected,17795,,1
195,2926,Undirected,17796,,1
439,4561,Undirected,17797,,1
1617,4013,Undirected,17798,,1
343,3991,Undirected,17799,,1
321,5618,Undirected,17800,,1
5334,601,Undirected,17801,,1
7545,7982,Undirected,17802,,1
2551,5211,Undirected,17803,,1
5104,6006,Undirected,17804,,1
858,989,Undirected,17805,,1
2116,2947,Undirected,17806,,1
6987,7957,Undirected,17807,,1
6493,6875,Undirected,17808,,1
5250,6944,Undirected,17809,,1
489,6188,Undirected,17810,,1
