UID1,UID2
7058,7659
4508,5772
3356,6221
2386,4552
7905,8571
6396,989
232,5367
4696,501
7535,7644
5511,5688
1260,4507
2816,4553
8029,8402
4212,5560
1371,4469
2708,4857
6695,6696
7322,7403
5688,6296
2685,2924
1481,5347
4698,4878
6629,6869
3322,4646
2203,6149
485,6127
1596,6471
1832,4212
7033,7990
7831,8105
8264,8642
2667,5823
550,655
3285,5680
264,501
14,5385
6481,6909
5102,5667
3173,3592
111,4620
8468,8614
7818,8600
503,647
7575,8141
1407,762
2978,3972
1758,6758
2344,5182
2322,3101
4664,6637
7254,7934
253,4135
2113,5590
5214,955
4383,6878
7787,8343
2868,5528
2350,457
4207,558
7862,8353
496,5160
6801,8091
4165,908
5821,6316
7748,8649
5385,6581
2570,6486
7805,8112
3392,6447
7633,7670
1770,2889
4399,5574
4720,6888
7794,8122
7605,8647
5047,5482
7523,8832
7147,7158
3365,6221
6706,7558
3092,4288
2151,989
397,5670
2477,2668
3933,460
7122,7361
1569,3970
8264,8633
264,4696
166,4294
4555,5367
1686,2232
2788,5845
3434,976
5878,6671
3464,3742
111,1719
4013,811
2750,5504
1000,3206
234,5859
7990,8614
8133,8522
3416,5446
1611,6637
5703,5779
5111,976
3151,6257
4200,5807
2130,4339
7631,8656
1892,86
2492,264
3670,4421
3464,5395
3865,948
4008,6545
2795,5317
5350,5867
2522,5151
124,921
1770,5167
4998,8826
3291,4235
2433,477
7143,7695
4039,6611
7020,8009
3299,5012
2339,6887
7716,8456
3322,6244
2706,4118
7687,8457
489,526
1945,3054
3472,3558
2708,6159
5165,5790
3291,3900
1731,6854
7380,7442
488,989
7491,7649
4094,5662
2189,854
3348,3900
7142,8412
7843,8106
4479,5458
1624,981
4273,782
4095,6269
2551,5528
5729,5867
1552,2511
2294,2926
396,4954
6829,8459
6744,6816
4324,5367
5782,6908
3191,989
3293,3965
355,6254
8210,8677
7910,8115
5270,6591
1214,3997
1542,6332
2569,4284
7692,8458
7677,8439
6718,7120
5805,5867
2134,3416
7033,7931
4095,6400
8024,8669
4095,4307
4087,5160
6981,8472
6185,6552
3104,4643
2606,3234
3408,4333
7840,8100
4413,991
7324,7803
2848,4553
4333,650
3284,3401
4425,6444
7712,7715
3296,4505
7061,8088
5246,861
4013,5440
7927,8531
3530,4333
1,8290
474,6613
6808,8037
5574,5650
3553,840
7325,8219
8074,8368
3851,5421
7657,7921
3396,4095
23,2676
7180,8287
2802,6945
1182,1437
1585,4179
7927,8278
2842,829
2345,5204
3019,6907
5145,5439
280,3992
4044,5373
6982,7253
7389,8170
3893,5867
2816,6888
1983,435
3014,7
4720,6083
5035,639
8637,8804
2825,5452
5581,989
1857,4276
6661,773
6985,7332
2472,3587
3988,5690
2924,4915
2551,4919
6958,947
2153,3505
2598,6021
3016,3025
2835,4919
3793,3929
4896,6903
3773,5784
8142,8620
3282,6870
7355,8648
3355,5370
7709,7710
3795,6961
2409,5903
4863,6899
2591,3559
4920,5674
3275,6296
7982,8498
1784,2537
2606,4688
1438,1717
1374,3099
7098,8796
1728,420
4846,72
6697,8255
1713,736
7671,8234
3389,4352
1383,2327
7821,8043
2668,3077
7998,8226
3239,3445
2503,5551
139,856
6725,7168
1215,2404
8370,8402
7363,7587
2143,415
2953,3202
1552,4512
1633,1785
5724,6092
6718,8652
7982,8180
1785,3818
3587,4333
8658,8781
2693,6844
2156,2398
6731,7371
4541,6914
3530,5423
7946,8213
3303,970
2149,2152
1373,561
8149,8802
2469,4013
4013,6278
4962,989
1528,4067
3766,5593
5688,6681
402,5435
1502,948
1034,5156
6983,8821
1371,2292
1653,921
7723,8408
2853,4003
3784,6937
2586,5803
7679,8315
340,5951
7713,8417
6768,8052
4131,6314
3716,6194
3115,3459
2771,4919
7657,8105
