Author Name,Author ID
Md. Mokammel Haque and Md. Kamrul Hossain,CU_Md._Mokammel_Haque_and_Md._Kamrul_Hossain
Md. Mokammel Haque and Mohammad Obaidur Rahman,CU_Md._Mokammel_Haque_and_Mohammad_Obaidur_Rahman
Md. Mokammel Haque and Udayan Das Gupta,CU_Md._Mokammel_Haque_and_Udayan_Das_Gupta
Md. Moshiul Hoque,CU_Md._Moshiul_Hoque
Md. Moshiul Hoque and Kaushik Deb,CU_Md._Moshiul_Hoque_and_Kaushik_Deb
Md. Moshiul Hoque and Md. Iqbal Hasan Sarker,CU_Md._Moshiul_Hoque_and_Md._Iqbal_Hasan_Sarker
Md. Mostafizur Rahaman,CU_Md._Mostafizur_Rahaman
Md. Obaidur Rahman,CU_Md._Obaidur_Rahman
Md. Osman Goni,CU_Md._Osman_Goni
Md. Rafiqul Alam,CU_Md._Rafiqul_Alam
Md. Rahat Mahmud,CU_Md._Rahat_Mahmud
Md. Rashadur Rahman,CU_Md._Rashadur_Rahman
Md. Rashadur RahmanMd,CU_Md._Rashadur_RahmanMd
Md. Sabir Hossain,CU_Md._Sabir_Hossain
Md. Sajib Al-Seraj,CU_Md._Sajib_Al-Seraj
Md. Saki Kowser,CU_Md._Saki_Kowser
Md. Sarwar Kamal and Mohammad Shamsul Arefin,CU_Md._Sarwar_Kamal_and_Mohammad_Shamsul_Arefin
Md. Shafiul Alam Forhad,CU_Md._Shafiul_Alam_Forhad
Md. Shahadat Hossain,CU_Md._Shahadat_Hossain
Md. Shahnur Azad Chowdhury,CU_Md._Shahnur_Azad_Chowdhury
Md. Shamsul Arefin,CU_Md._Shamsul_Arefin
Mir Md. Saki Kowsar,CU_Mir_Md._Saki_Kowsar
Mir Mohammad Saki Kowsar and Tahmina Khanam,CU_Mir_Mohammad_Saki_Kowsar_and_Tahmina_Khanam
Mohammad Ashfak Habib,CU_Mohammad_Ashfak_Habib
Mohammad Ashraf Russo,CU_Mohammad_Ashraf_Russo
Mohammad Atiqul Islam Rizvi,CU_Mohammad_Atiqul_Islam_Rizvi
Mohammad Ibrahim Khan,CU_Mohammad_Ibrahim_Khan
Mohammad Mizanur Rahman,CU_Mohammad_Mizanur_Rahman
Mohammad Obaidur Rahman,CU_Mohammad_Obaidur_Rahman
Mohammad Obaidur Rahman and Asaduzzaman,CU_Mohammad_Obaidur_Rahman_and_Asaduzzaman
Mohammad Shamsul Arefin,CU_Mohammad_Shamsul_Arefin
Mohammad Shamsul Arefin and Mohammad Obaidur Rahman,CU_Mohammad_Shamsul_Arefin_and_Mohammad_Obaidur_Rahman
Mohammed Ibrahim Khan,CU_Mohammed_Ibrahim_Khan
Mohammed Moshiul Hoque,CU_Mohammed_Moshiul_Hoque
Mohammed Nasir Uddin and Kaushik Deb,CU_Mohammed_Nasir_Uddin_and_Kaushik_Deb
Mohammed Safayet Arefin,CU_Mohammed_Safayet_Arefin
Mohammed Ziaur Rahman,CU_Mohammed_Ziaur_Rahman
Monowar Wadud Hridoy,CU_Monowar_Wadud_Hridoy
Moumita Sen Sarma,CU_Moumita_Sen_Sarma
Mr. Thomas Chowdhury & Rahma Bintey Mufiz Mukta,CU_Mr._Thomas_Chowdhury_&_Rahma_Bintey_Mufiz_Mukta
Muhammad Ibrahim Khan,CU_Muhammad_Ibrahim_Khan
Muhammad Kamal Hossen,CU_Muhammad_Kamal_Hossen
Muhammad Kamal Hossen and Kaushik Deb,CU_Muhammad_Kamal_Hossen_and_Kaushik_Deb
Muhammad Kamrul Hossain Patwary,CU_Muhammad_Kamrul_Hossain_Patwary
Musfequa Rahman,CU_Musfequa_Rahman
My Ha Le,CU_My_Ha_Le
My-Ha Le,CU_My-Ha_Le
N Siddique,CU_N_Siddique
N. Islam and I. H. Sarker,CU_N._Islam_and_I._H._Sarker
N. N. Siddique and I. H. Sarker,CU_N._N._Siddique_and_I._H._Sarker
N. S. Kim,CU_N._S._Kim
N. Siddique,CU_N._Siddique
Nafiz Mahmud and Md. Mokammel Haque,CU_Nafiz_Mahmud_and_Md._Mokammel_Haque
Nazmun Naher,CU_Nazmun_Naher
Nowrozy,CU_Nowrozy
Nur Mohammad,CU_Nur_Mohammad
Nusrat Jahan Oishi,CU_Nusrat_Jahan_Oishi
O Sharif,CU_O_Sharif
O. & Hoque,CU_O._&_Hoque
O. M. M. Hoque and Iqbal. H. Sarker,CU_O._M._M._Hoque_and_Iqbal._H._Sarker
O. Sharif,CU_O._Sharif
O. Sharif and M. M. Hoque,CU_O._Sharif_and_M._M._Hoque
Oh-Jin Kwon,CU_Oh-Jin_Kwon
Omar Sharif,CU_Omar_Sharif
Omar Sharif and Mohammed Moshiul Hoque,CU_Omar_Sharif_and_Mohammed_Moshiul_Hoque
P. K. Dhar and M. A. F. M. R. Hasan,CU_P._K._Dhar_and_M._A._F._M._R._Hasan
Parvin,CU_Parvin
Pranab K. Dhar,CU_Pranab_K._Dhar
Pranab Kumar Dhar,CU_Pranab_Kumar_Dhar
Pranab Kumar Dhar and Golam Moktader Daiyan,CU_Pranab_Kumar_Dhar_and_Golam_Moktader_Daiyan
Prianka Banik and Kaushik Deb,CU_Prianka_Banik_and_Kaushik_Deb
Promiti Chakraborty,CU_Promiti_Chakraborty
Q. D. Hossian,CU_Q._D._Hossian
Quazi Delwar Hossian,CU_Quazi_Delwar_Hossian
R,CU_R
R Nowrozy,CU_R_Nowrozy
R. C. Ripan,CU_R._C._Ripan
R. Hossain,CU_R._Hossain
R. Paul,CU_R._Paul
R. Rayan,CU_R._Rayan
R. Yasmin,CU_R._Yasmin
Rahat Mahmud,CU_Rahat_Mahmud
Rahma Bintey Mufiz Mukta,CU_Rahma_Bintey_Mufiz_Mukta
Rahma Bintey Mufiz Mukta & Sarah Sohana,CU_Rahma_Bintey_Mufiz_Mukta_&_Sarah_Sohana
Rajan Shankaran,CU_Rajan_Shankaran
Ricko Shaha,CU_Ricko_Shaha
S Hossain,CU_S_Hossain
S Sakib,CU_S_Sakib
S. A. Chowdhury,CU_S._A._Chowdhury
S. Afroze,CU_S._Afroze
S. J. Park,CU_S._J._Park
S. M. A. Iqbal,CU_S._M._A._Iqbal
S. M. Azizul Hakim and Asaduzzaman,CU_S._M._Azizul_Hakim_and_Asaduzzaman
S. M. Iqbal,CU_S._M._Iqbal
S. M. M. Hossain,CU_S._M._M._Hossain
S. M. R. Islam,CU_S._M._R._Islam
S. Sharmin,CU_S._Sharmin
S. Sultana and Asaduzzaman,CU_S._Sultana_and_Asaduzzaman
S.M.A.,CU_S.M.A.
Saadman Sakib,CU_Saadman_Sakib
Sabiha Anan,CU_Sabiha_Anan
Saha Reno and Md. Mokammel Haque,CU_Saha_Reno_and_Md._Mokammel_Haque
Sajib Al-Seraj,CU_Sajib_Al-Seraj
Saki Kowsar and Jong-Myon Kim,CU_Saki_Kowsar_and_Jong-Myon_Kim
Samiul Haque,CU_Samiul_Haque
Sangita Mitra,CU_Sangita_Mitra
Sayem Mohammad Imtiaz,CU_Sayem_Mohammad_Imtiaz
