Author Name,Author ID
bilkis a begum,AIUB_bilkis_a_begum
bipasha aktar,AIUB_bipasha_aktar
bithi paul,AIUB_bithi_paul
bm sajjad hossain,AIUB_bm_sajjad_hossain
bodrunnesa,AIUB_bodrunnesa
booshrat e. sharmin,AIUB_booshrat_e._sharmin
bristy talukder md masum billah,AIUB_bristy_talukder_md_masum_billah
bég,AIUB_bég
cemil tunç,AIUB_cemil_tunç
chandra sekhar tiwary,AIUB_chandra_sekhar_tiwary
chang-sik ha,AIUB_chang-sik_ha
che d.,AIUB_che_d.
chifu e. ndikilar,AIUB_chifu_e._ndikilar
choi,AIUB_choi
chongqi zhang,AIUB_chongqi_zhang
chonnam national university,AIUB_chonnam_national_university
claudio trombini,AIUB_claudio_trombini
connie tee,AIUB_connie_tee
d karmaker,AIUB_d_karmaker
d.,AIUB_d.
d. a. bradley,AIUB_d._a._bradley
d. k. das,AIUB_d._k._das
d. mistry,AIUB_d._mistry
d. nandi,AIUB_d._nandi
d. saha,AIUB_d._saha
debajyoti das,AIUB_debajyoti_das
debajyoti das & soumen basu,AIUB_debajyoti_das_&_soumen_basu
debajyoti karmaker,AIUB_debajyoti_karmaker
debajyoti karmekar,AIUB_debajyoti_karmekar
debajyoti mondal,AIUB_debajyoti_mondal
debashish roy,AIUB_debashish_roy
debashish sarker,AIUB_debashish_sarker
debasis kumar,AIUB_debasis_kumar
dhiman sarma,AIUB_dhiman_sarma
dhiraj kumar rana,AIUB_dhiraj_kumar_rana
dhiraj kumar rana and soumen basu,AIUB_dhiraj_kumar_rana_and_soumen_basu
dilshad islam,AIUB_dilshad_islam
dimas yunianto putro,AIUB_dimas_yunianto_putro
dimas yuniantoputroa1muhammad hilmyalfaruqiab1saifulislamaseokhunkimasohyunparkaseulgileeajang-yeonhwangayang-kooksuncjaekookkima,AIUB_dimas_yuniantoputroa1muhammad_hilmyalfaruqiab1saifulislamaseokhunkimasohyunparkaseulgileeajang-yeonhwangayang-kooksuncjaekookkima
dimosthenis anagnostopoulos,AIUB_dimosthenis_anagnostopoulos
din mohammad dohan,AIUB_din_mohammad_dohan
dip nandi,AIUB_dip_nandi
dipanita saha,AIUB_dipanita_saha
dipanwita saha,AIUB_dipanwita_saha
dipta gomes,AIUB_dipta_gomes
dipta justin gomes,AIUB_dipta_justin_gomes
dmitry s. yufit,AIUB_dmitry_s._yufit
dongsu lee,AIUB_dongsu_lee
dr. a. f. m. saifuddin saif,AIUB_dr._a._f._m._saifuddin_saif
dr. abdus salam,AIUB_dr._abdus_salam
dr. afroza nahar,AIUB_dr._afroza_nahar
dr. afroza shelley,AIUB_dr._afroza_shelley
dr. akinul islam jony,AIUB_dr._akinul_islam_jony
dr. ashraf uddin,AIUB_dr._ashraf_uddin
dr. debajyoti karmaker,AIUB_dr._debajyoti_karmaker
dr. dilruba yasmin,AIUB_dr._dilruba_yasmin
dr. dip nandi,AIUB_dr._dip_nandi
dr. hossain md. shakhawat,AIUB_dr._hossain_md._shakhawat
dr. jahida binte islam,AIUB_dr._jahida_binte_islam
dr. kamal uddin sarker,AIUB_dr._kamal_uddin_sarker
dr. kamruddin md. nur,AIUB_dr._kamruddin_md._nur
dr. kamrun nahar mukta,AIUB_dr._kamrun_nahar_mukta
dr. kazi a. kalpoma,AIUB_dr._kazi_a._kalpoma
dr. keshab chandra bhuyan,AIUB_dr._keshab_chandra_bhuyan
dr. khandaker tabin hasan,AIUB_dr._khandaker_tabin_hasan
dr. m m manjurul islam,AIUB_dr._m_m_manjurul_islam
dr. m. m. mahbubul syeed,AIUB_dr._m._m._mahbubul_syeed
dr. m. mostafizur rahman,AIUB_dr._m._mostafizur_rahman
dr. mahadeb kumar das,AIUB_dr._mahadeb_kumar_das
dr. mahfuza khatun,AIUB_dr._mahfuza_khatun
dr. mahjabin taskin,AIUB_dr._mahjabin_taskin
dr. md alamgir kabir,AIUB_dr._md_alamgir_kabir
dr. md iftekharul mobin,AIUB_dr._md_iftekharul_mobin
dr. md taimur ahad,AIUB_dr._md_taimur_ahad
dr. md. abdul hamid,AIUB_dr._md._abdul_hamid
dr. md. abdullah - al - jubair,AIUB_dr._md._abdullah_-_al_-_jubair
dr. md. abdullah - al - jubair.,AIUB_dr._md._abdullah_-_al_-_jubair.
dr. md. alamgir badsha,AIUB_dr._md._alamgir_badsha
dr. md. asraf ali,AIUB_dr._md._asraf_ali
dr. md. atikur rahman khan,AIUB_dr._md._atikur_rahman_khan
dr. md. kamruzzaman,AIUB_dr._md._kamruzzaman
dr. md. mahbub chowdhury mishu,AIUB_dr._md._mahbub_chowdhury_mishu
dr. md. manzurul hasan,AIUB_dr._md._manzurul_hasan
dr. md. mozahar ali,AIUB_dr._md._mozahar_ali
dr. md. rabiul auwul,AIUB_dr._md._rabiul_auwul
dr. md. rayhan uddin,AIUB_dr._md._rayhan_uddin
dr. md. razib hayat khan,AIUB_dr._md._razib_hayat_khan
dr. md. saddam mukta hossain,AIUB_dr._md._saddam_mukta_hossain
dr. md. saef ullah miah,AIUB_dr._md._saef_ullah_miah
dr. md. saiful islam,AIUB_dr._md._saiful_islam
dr. md. sakir hossain,AIUB_dr._md._sakir_hossain
dr. md. sohidul islam,AIUB_dr._md._sohidul_islam
dr. md. taimur ahad,AIUB_dr._md._taimur_ahad
dr. md. tarek hossain,AIUB_dr._md._tarek_hossain
dr. mohammad ferdows,AIUB_dr._mohammad_ferdows
dr. mohammad mahbub rabbani,AIUB_dr._mohammad_mahbub_rabbani
dr. mohammad mahmudul hasan,AIUB_dr._mohammad_mahmudul_hasan
dr. mohammad marufuzzaman,AIUB_dr._mohammad_marufuzzaman
dr. mohammad tariqul islam,AIUB_dr._mohammad_tariqul_islam
dr. mohammed jashim uddin,AIUB_dr._mohammed_jashim_uddin
dr. moushumi zaman bonny,AIUB_dr._moushumi_zaman_bonny
dr. muhammad firoz mridha,AIUB_dr._muhammad_firoz_mridha
dr. preetom nag,AIUB_dr._preetom_nag
dr. razuan karim,AIUB_dr._razuan_karim
dr. rehena parveen,AIUB_dr._rehena_parveen
dr. s. a. m. manzur h. khan,AIUB_dr._s._a._m._manzur_h._khan
dr. s. m. hasan mahmud,AIUB_dr._s._m._hasan_mahmud
dr. s. mosaddeq ahmed,AIUB_dr._s._mosaddeq_ahmed
dr. s. n. m. azizul hoque,AIUB_dr._s._n._m._azizul_hoque
dr. saiful islam,AIUB_dr._saiful_islam
dr. samia mahjabin,AIUB_dr._samia_mahjabin
dr. shohag barman,AIUB_dr._shohag_barman
dr. t. m. shahriar sazzad,AIUB_dr._t._m._shahriar_sazzad
dr. vinod mathew,AIUB_dr._vinod_mathew
dunren che,AIUB_dunren_che
dunrenche,AIUB_dunrenche
duong tung pham†,AIUB_duong_tung_pham†
durjoy sarker,AIUB_durjoy_sarker
e e tzirtzilakis,AIUB_e_e_tzirtzilakis
e hoque1,AIUB_e_hoque1
e. haque,AIUB_e._haque
e. tarif,AIUB_e._tarif
elsayed elbayoumy,AIUB_elsayed_elbayoumy
emran khan ashik,AIUB_emran_khan_ashik
enamul haque shamim,AIUB_enamul_haque_shamim
endo,AIUB_endo
eri nasuno1,AIUB_eri_nasuno1
f j pettersen,AIUB_f_j_pettersen
f. khanom,AIUB_f._khanom
f. mebarek-oudina,AIUB_f._mebarek-oudina
f.; sabbir,AIUB_f.;_sabbir
f.m. bui,AIUB_f.m._bui
f.z. monira,AIUB_f.z._monira
fabio matrone,AIUB_fabio_matrone
fahad ahmed,AIUB_fahad_ahmed
fahad ahmed al-zahrani,AIUB_fahad_ahmed_al-zahrani
fahad al-bin,AIUB_fahad_al-bin
fahad molla,AIUB_fahad_molla
faheemullah shaikh,AIUB_faheemullah_shaikh
fahim,AIUB_fahim
fahim muntasir,AIUB_fahim_muntasir
fahim shahriar,AIUB_fahim_shahriar
fahima khanam,AIUB_fahima_khanam
