Author Name,Author ID,UID
md.,aiub_author_110,58
md.,aiub_author_110,58
roushanara,aiub_author_1100,90
mohammad,aiub_author_1101,32
chowdhury,aiub_author_1102,9
singh,aiub_author_1103,91
singh,aiub_author_1103,91
v.k.,aiub_author_1104,92
v.k.,aiub_author_1104,92
arora,aiub_author_1105,93
arora,aiub_author_1105,93
p.,aiub_author_1106,94
p.,aiub_author_1106,94
a.,aiub_author_1108,95
a.,aiub_author_1108,95
bhattacharya,aiub_author_1109,96
molla,aiub_author_111,97
molla,aiub_author_111,97
s.,aiub_author_1110,43
s.,aiub_author_1110,43
md.m.,aiub_author_1111,98
md.m.,aiub_author_1111,98
md.s.,aiub_author_1112,99
md.s.,aiub_author_1112,99
onik,aiub_author_1113,100
onik,aiub_author_1113,100
md.m.h.,aiub_author_1114,101
md.m.h.,aiub_author_1114,101
mahmudul,aiub_author_1115,102
stamati,aiub_author_1116,103
loucopoulos,aiub_author_1117,104
nikolaidou,aiub_author_1118,105
yeasmin,aiub_author_1119,106
yeasmin,aiub_author_1119,106
md.,aiub_author_112,58
kuri,aiub_author_1120,107
kuri,aiub_author_1120,107
r.,aiub_author_1121,108
r.,aiub_author_1121,108
mahamudul,aiub_author_1122,109
a.r.m.,aiub_author_1123,110
a.r.m.,aiub_author_1123,110
pathan,aiub_author_1124,111
a.q.m.,aiub_author_1125,112
a.q.m.,aiub_author_1125,112
riaz,aiub_author_1126,113
riaz,aiub_author_1126,113
h.,aiub_author_1127,114
h.,aiub_author_1127,114
mohammad,aiub_author_1128,32
mehedi,aiub_author_1129,115
putul,aiub_author_113,116
putul,aiub_author_113,116
siyamul,aiub_author_1130,71
onik,aiub_author_1131,100
onik,aiub_author_1131,100
m.,aiub_author_1132,70
m.,aiub_author_1133,70
m.,aiub_author_1133,70
m.,aiub_author_1134,70
m.,aiub_author_1134,70
uddin,aiub_author_1135,117
uddin,aiub_author_1135,117
khandaker,aiub_author_1136,12
a.g.m.,aiub_author_1137,118
razib,aiub_author_1138,119
noshin,aiub_author_1139,120
r.,aiub_author_114,108
