Author Name,Author ID
Syed Akib Anwar Hridoy,nsu_author_158
M Tahmid Ekram,nsu_author_159
Mohammad Samiul Islam,nsu_author_160
Faysal Ahmed,nsu_author_161
Md Mahfuzur Rahman Siddiquee,nsu_author_162
Md. Saifur Rahman,nsu_author_163
Naimul Haider,nsu_author_164
Rashedur M. Rahman,nsu_author_165
Shahnewaz Ul Islam Chowdhury,nsu_author_166
Sharnendu Banik,nsu_author_167
Mohammed Rashid Chowdhury,nsu_author_168
Mohammad Raihan Mahmud,nsu_author_169
Ruhul Amin Dicken,nsu_author_170
S. A. M. Fazle Rubby,nsu_author_171
Sheefta Naz,nsu_author_172
A. M. Arefin Khaled,nsu_author_173
Shuvo Ashish Rahman,nsu_author_174
Sharmina Rahman,nsu_author_175
Fahim Jawad,nsu_author_176
Ahmad Najeeb,nsu_author_177
Mohammed Faisal,nsu_author_178
Fariha Nusrat,nsu_author_179
Rubaiya Chamon Shamita,nsu_author_180
Mridul Khan,nsu_author_181
A. K. M. Zahiduzzaman,nsu_author_182
Mohammad Nahyan Quasem,nsu_author_183
Mohammad Alaul Haque Monil,nsu_author_184
C. L. Poirel,nsu_author_185
D. J. Badger,nsu_author_186
C. Estep,nsu_author_187
T. M. Murali,nsu_author_188
R. Rodrigues,nsu_author_189
A. Krishnan,nsu_author_190
J. R. Addesa,nsu_author_191
Shamsul Arifin,nsu_author_192
M. Ashraful Amin,nsu_author_193
Hong Yan,nsu_author_194
Fazle R. Hasan,nsu_author_195
Ehtesham Choudhury,nsu_author_196
Mahmud Ridwan,nsu_author_197
M Abdul Awal,nsu_author_198
Faiyaz Ahmed,nsu_author_199
M Sultan Mahmud,nsu_author_200
Saad Abdullah,nsu_author_201
Shazzad Hosain and Hasan Jamil,nsu_author_202
Hasan Jamil,nsu_author_203
Anupam Bhattacharjee,nsu_author_204
Aminul Islam,nsu_author_205
Mohammad Shafkat Amin,nsu_author_206
Shahriyar Hossain,nsu_author_207
Hasan Jamil and Leonard Lipovich,nsu_author_208
Shazzad Hosain and Hasan M. Jamil,nsu_author_209
Munirul Islam,nsu_author_210
Hasan M. Jamil,nsu_author_211
Morris Goodman and Derek E. Wildman,nsu_author_212
Md. Shazzad Hosain and Md. Shamsul Alam,nsu_author_213
Md. Shazzad Hosain and Muhammad Abdul Hakim Newton,nsu_author_214
Rashik Iram Chowdhury,nsu_author_215
Jareen Anjom,nsu_author_216
Md. Ishan Arefin Hossain,nsu_author_217
Kazi Atique Moula Nabil,nsu_author_218
Md. Ariful Islam,nsu_author_219
Abdullah Al Noman and Mohammad Monirujjaman Khan,nsu_author_220
Balwinder Raj,nsu_author_221
B Gupta,nsu_author_222
B Gupta Shalendra Singh and Mohammad Monirujjaman Khan,nsu_author_223
Anika Tabassum,nsu_author_224
Zia Ush Shamszaman,nsu_author_225
Ahmed Kiser,nsu_author_226
Israt Jahan Mitu,nsu_author_227
Syeda Mahin Binta Haque,nsu_author_228
Md. Amdadul Bari and Mohammad Monirujjaman Khan,nsu_author_229
Ajan Ahmed and Mohammad Monirujjaman Khan,nsu_author_230
Md. Khairul Islam,nsu_author_231
Md. Farabi Alam,nsu_author_232
AbidIbna Zahid,nsu_author_233
Ajan Ahmed,nsu_author_234
Parminder Singh,nsu_author_235
Ranbir Singh Batth et al.,nsu_author_236
Abdur Rab Dhruba,nsu_author_237
Kazi Nabiul Alam,nsu_author_238
Md Shakib Khan,nsu_author_239
Md. Shovon Uz Zaman Siddique,nsu_author_240
Siddhartha Mohammad,nsu_author_241
Tapesh Bhowmick,nsu_author_242
