Title,Authors
Video Watermarking Scheme Using Second Level Discrete Wavelet Transformation (DWT) and Fast Fourier Transformation,"Md. Rahat Mahmud, Tahmina Khanam and Kaushik Deb"
Detecting Books from Bookshelf of Multiple Cells,Prianka Banik and Kaushik Deb
An Intelligent Human-Robot Interaction Framework to Control the Human Attention,"Md. Moshiul Hoque, Kaushik Deb, Dipankar Das, Y. Kobayashi, and Y. Kuno"
Moment Invariants Based Object Recognition for Different Pose and Appearances in Real Scenes,"Swati Nigam, Kaushik Deb, and Ashish Khare"
An Efficient Method of Vehicle License Plate Recognition Based on Sliding Concentric Windows and Artificial Neural Network,"Kaushik Deb, Md. Ibrahim Khan, Anik Saha, and Kang-Hyun Jo"
Designing a Semantic Web Ontology of agricultural domain,"Sujan Chowdhury, Kayasar Md. Mahedi, and Kaushik Deb"
A joint DWT-DCT Based Watermarking Technique for Avoiding Unauthorized Replication,"Kaushik Deb, Sajib Al-Seraj, Md. Saki Kowser, Iqbal Hasan Sarker"
Bangladeshi Vehicle License Plate Detection Method Based on HSI Color Model and Geometrical Properties,"Kaushik Deb, Muhammad Kamal Hossen, Md. Ibrahim Khan, and Md. Rafiqul Alam"
Robotic System for Making Eye Contact Pro-activity with Humans,Md. Moshiul Hoque and Kaushik Deb
Combined DWT-DCT Based Digital Watermarking Technique for Copyright Protection,"Kaushik Deb, Md. Sajib Al-Seraj, Md. Moshiul Hoque and Md. Iqbal Hasan Sarker"
Optical Recognition of Vehicle License Plates,"Kaushik Deb, Md. Ibrahim Khan, Md. Rafiqul Alam, and Kang-Hyun Jo"
Bangla Character Recognition by using Artificial Neural Network,Anik Saha and Kaushik Deb
'Developing a Bangla Spell Checker With Possible Suggestions by using Longest Common Sub Sequence and Soundex algorithm,Sujan Chowdhury and Kaushik Deb
Road Sign Detection Method based on Fast HDR Image Generation Technique,"Andrey Vavilin, Kaushik Deb, Tae-Ho Kim, and Kang-Hyun Jo"
Recognizing Outdoor Scene Objects Using Texture Features and Probabilistic Appearance Model,"My-Ha Le, Kaushik-Deb, and Kang-Hyun Jo"
Vehicle License Plate Tilt Correction Based on the Straight Line Fitting Method,"Kaushik-Deb, Andrey Vavilin, Jung-Won Kim, and Kang-Hyun Jo"
A Modified New Reno for performance Enhancement of TCP in Wireless Network,"Pranab Kumar Dhar, Kaushik-Deb, and P. M. Mahamudul Hassan"
An Efficient Algorithm for finding the Control Point of 3rd order Bezier Curve,"Md. Ibrahim Khan, Sujon Chowdhury, Alok Kumar Chowdhury, and Kaushik-Deb"
Projection and Least Square Fitting with Perpendicular Offsets based Vehicle License Plate Tilt Correction,"Kaushik-Deb, Andrey Vavilin, Jung-Won Kim, and Kang-Hyun Jo"
An Efficient Method for Correcting Vehicle License Plate Tilt,"Kaushik-Deb, Andrey Vavilin, and Kang-Hyun Jo"
License Plate Detection Method Based on HDR Image Generation from Multiple Cameras,"Andy Vavilin, Kaushik Deb and Kang-Hyun Jo"
Korean Vehicle License Plate Detection Based on Statistical and Geometrical Properties in HSI Color Space,"Kaushik Deb, Suk-Ju Kang, and Kang-Hyun Jo"
Vehicle License Plate Extraction Based on Color and Geometrical Features,"Kaushik-Deb, Hee-Chul Lim and Kang-Hyun Jo"
A Hybrid Vehicle License Plate Detection Method Based on HSI Color Model and Histogram,"Kaushik Deb, Kang, Suk-Ju, Kang-Hyun Jo"
Korean Vehicle License Plate Extraction Based on HSI Color Model and Histogram,"Kaushik Deb, Heechul Lim, Kang-Hyun Jo"
HSI Color based Vehicle License Plate Detection,Kaushik Deb and Kang-Hyun Jo
Parallelogram and Histogram based Vehicle License Plate Detection,"Kaushik Deb, Hyun-Uk Chae, and Kang-Hyun Jo"
Korean Vehicle License Plate Detection Based on Geometrical and Colour Properties,Kaushik Deb and Kang-Hyun Jo
A Localized Queuing Based Router-Centric Approach to Congestion Avoidance and Recovery for Connectionless datagram Service,M.A.H. Bhuiyan and Kaushik Deb
Information System for Medical Firm,Kaushik Deb and V. L. Tokarev
Verbs in Russian Terminology of Computer Facilities and Computer Science,Kaushik Deb
Door Detection Based on Geometrical Features and Harris Corner,"Md. Akber Hossain, Sabiha Anan, and Kaushik Deb"
Enhancing image caption generation through context-aware attention mechanism,"Ahatesham Bhuiyana, Eftekhar Hossain, Mohammed Moshiul Hoque, and M. Ali Akber Dewan"
AraCovTexFinder: Leveraging the transformer-based language model for Arabic COVID-19 text identification,"M. R. Hossain, M. M. Hoque, N. Siddique, M. A. A. Dewan"
"An Empirical Framework for Detecting Speaking Modes Using Ensemble Classifier"", in Multimedia Tools and Applications","[3] S. Afroze, R. Hossain, M. M. Hoque, and A. A. Dewan"
"""TEmoX: Classification of Textual Emotion Using Ensemble of Transformers,"" in IEEE Access","A. Das, M. M. Hoque, O. Sharif, M. A. A. Dewan and N. Siddique"
Leveraging the meta-embedding for text classification in a resource-constrained language,"M. R. Hossain, M. M. Hoque, N. Siddique"
CovTiNet: Covid text identification network using attention-based positional embedding feature fusion,"M. R. Hossain, M. M. Hoque, N. N. Siddique and I. H. Sarker"
LCDEiT: A Linear Complexity Data-Efficient Image Transformer for MRI Brain Tumor Classification,"G. J Ferdous, K. A Sathi, M. A Hossain, M. M. Hoque, M. A. A. Dewan"
DeepFocus: A visual focus of attention detection framework using deep learning in multi-object scenarios,"S. Afroze, R. Hossain, and M. M. Hoque"
Identification of Multilingual Offense and Troll from Social Media Memes Using Weighted Ensemble of Multimodal Features,"E. Hossain, O. Sharif, M. M. Hoque, M. A. A. Dewan, N. Siddique, M. A. Hossain"
A Deep Attentive Multimodal Learning Approach for Disaster Identification from Social Media Posts,"E. Hossain, M. M. Hoque, E. Hoque and M. S. Islam"
A source-driven probabilistic forwarding and caching strategy in NDN and SDN-based NDN,"S. M. A. Iqbal, Asaduzzaman, M. M. Hoque"
A source-driven reinforcement learning-based Data reply strategy to reduce communication overhead in Named Data Networks (NDN),"Iqbal, S.M.A., Asaduzzaman & Hoque, M.M."
BEmoC: A Corpus for Identifying Emotion in Bengali Texts,"Iqbal, M.A., Das, A., Sharif, O. M. M. Hoque and Iqbal. H. Sarker"
Classification of Textual Sentiment Using Ensemble Technique.,"Mamun, M.M.R., Sharif, O. & Hoque, M.M."
Multi-class Textual Emotion Categorization using Ensemble of Convolutional and Recurrent Neural Network,"Parvin, T., Sharif, O. & Hoque, M.M."
Tackling Cyber-Aggression: Identification and Fine-Grained Categorization of Aggressive Texts on Social Media using Weighted Ensemble of Transformers,O. Sharif and M. M. Hoque
