Author,Title
"Suraiya Pervin,",European Conference of Signal Processing (EUSIPCO 2000)
Suraiya Pervin,National Conference on Communication (NCC 2000).
Ali Md. Haider,The Proceedings of MVA-98
Md. Rezaul Karim,National Conference on Computer and Information Technology
Suraiya Pervin,"International conference on Control, Automation, Robotics and vision (ICARCV’ 96)."
Mosarrat Jahan,IEEE IEMCON'2021
Md Haider Ali,"1st International Conference on Advances in Science, Engineering and Robotics Technology (ICASERT)"
Md Ashraful Islam,2021 2nd International Conference for Emerging Technology (INCET)
Md Ashraful  Islam,2021 2nd International Conference for Emerging Technology (INCET)
Md Ashraful  Islam,2021 2nd International Conference for Emerging Technology (INCET)
Mosaddek Hossain  Kamal Tushar,2019 IEEE Conference on Network Softwarization (NetSoft)
Mosaddek Hossain Kamal,The 2012 Iberoamerican Conference on Electronics Engineering and Computer Science
"Nazma Tara, Md. Kamal IbneSufian, and Hafiz Md. Hasan Babu",IEEE International WIE Conference on Electrical and Computer Engineering (WIECON-ECE)
Mosaddek Hossain Kamal,2012 26th International Conference on Advanced Information Networking and Applications Workshops
"ZarrinTasnimSworna, Mubin Ul Haque, Hafiz Md. Hasan Babu and Lafifa Jamal",Future Technologies Conference 2017 (FTC 2017)
Mosaddek Hossain Kamal,Int. Conf. on Computer and Information Technology (ICCIT2001)
"Hafiz Md. Hasan Babu, Lafifa Jamal, SayantonVhaduriDibbo and Ashis Kumar Biswas",IEEE Computer Society Annual Symposium on VLSI (ISVLSI 2017)
Mosaddek H. K.  Tushar,2017 IEEE Global Conference on Signal and Information Processing (GlobalSIP)
"ZarrinTasnimSworna, Mubin Ul Haque, Hafiz Md. Hasan Babu, Lafifa Jamal and AshisKumer Biswas",IEEE Computer Society Annual Symposium on VLSI (ISVLSI 2017)
Mosaddek Hossain Kamal Tushar,2016 IEEE International Conference on Smart Grid Communications (SmartGridComm)
Mosaddek Hossain Kamal Tushar,2016 IEEE/PES Transmission and Distribution Conference and Exposition (T D)
Mosarrat Jahan,2021 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)
Mosarrat Jahan,IEEE BlackSeaCom
